pdate,name,weekday,volumn,open,high,low,close,adjclose
1998/9/25,^TWII,5,0,6952.689941,6979.890137,6903.689941,6979.864759,6979.864759
1998/9/28,^TWII,1,0,6958.169922,6958.169922,6905.450195,6910.584737,6910.584737
1998/9/29,^TWII,2,0,6952.209961,6952.209961,6841,6884.474969,6884.474969
1998/9/30,^TWII,3,0,6874.569824,6906.459961,6796.419922,6833.925348,6833.925348
1998/10/1,^TWII,4,0,6760.410156,6777.399902,6697.180176,6702.035691,6702.035691
1998/10/2,^TWII,5,0,6512.850098,6537.97998,6384.660156,6435.976599,6435.976599
1998/10/6,^TWII,2,0,6506.100098,6575.950195,6447.560059,6534.626143,6534.626143
1998/10/7,^TWII,3,0,6596.47998,6674.890137,6560.649902,6674.865868,6674.865868
1998/10/8,^TWII,4,0,6726.120117,6970.22998,6726.120117,6970.204638,6970.204638
1998/10/9,^TWII,5,0,6990.060059,7064.830078,6893.75,6944.144674,6944.144674
1998/10/12,^TWII,1,0,7027.140137,7027.140137,6913.799805,6920.425033,6920.425033
1998/10/13,^TWII,2,0,6997.910156,7023.180176,6906.680176,6909.195094,6909.195094
