pdate,weekday,column,open,high,low,close,adjclose,change,changePercent
2003/12/8,1,2125200,5869.160156,5869.200195,5842.209961,5847.149902,5847.128643,-52.899903,-0.00896601
2003/12/9,2,2650400,5881.709961,5881.709961,5830.299805,5859.560059,5859.538754,12.410157,0.002122428
2003/12/10,3,2652600,5813.279785,5834.419922,5773.75,5803.419922,5803.398821,-56.140137,-0.009580947
2003/12/11,4,3121200,5819.129883,5868.569824,5819.129883,5867.049805,5867.028473,63.629883,0.010964205
2003/12/12,5,3121600,5912.930176,5922.709961,5849.419922,5858.319824,5858.298524,-8.729981,-0.001487968
2003/12/15,1,2621800,5910.919922,5924.240234,5874.060059,5924.240234,5924.218695,65.92041,0.011252443
2003/12/16,2,2488000,5876.560059,5906.77002,5871.879883,5887.22998,5887.208575,-37.010254,-0.006247257
2003/12/17,3,4255600,5904.370117,5910.629883,5718.439941,5752.009766,5751.988852,-135.220214,-0.022968393
2003/12/18,4,2567000,5743.029785,5801.609863,5724.939941,5768.759766,5768.738791,16.75,0.002912026
2003/12/19,5,2713800,5829.02002,5829.02002,5755.220215,5759.22998,5759.209041,-9.529786,-0.001651964
2003/12/22,1,3115000,5782.089844,5850.740234,5773.640137,5835.109863,5835.088648,75.879883,0.013175352
2003/12/23,2,2617800,5858.109863,5858.339844,5827.939941,5845.509766,5845.488512,10.399903,0.001782298
2003/12/24,3,3511600,5865.930176,5900.100098,5849.569824,5857.870117,5857.848819,12.360351,0.002114504
2003/12/25,4,2921800,5870,5896.459961,5845.640137,5853.700195,5853.678912,-4.169922,-0.00071185
2003/12/26,5,2523000,5873.399902,5881.330078,5835.990234,5857.209961,5857.188665,3.509766,0.000599581
2003/12/29,1,2601200,5870.080078,5874.200195,5804.890137,5804.890137,5804.869031,-52.319824,-0.008932551
2003/12/30,2,3484400,5845.169922,5886.790039,5813.339844,5866.75,5866.728669,61.859863,0.010656509
2003/12/31,3,2710400,5872.450195,5900.819824,5868.740234,5890.689941,5890.668524,23.939941,0.004080614
2004/1/2,5,5160800,5907.149902,6043.299805,5907.149902,6041.560059,6041.538092,150.870118,0.025611621
2004/1/5,1,6668400,6080.180176,6137.910156,6061.859863,6125.419922,6125.397651,83.859863,0.013880498
2004/1/6,2,6191400,6170.02002,6170.02002,6110.689941,6144.009766,6143.987427,18.589844,0.003034869
2004/1/7,3,6273600,6174.950195,6215.450195,6130.350098,6141.25,6141.227671,-2.759766,-0.00044918
2004/1/8,4,4964000,6180.359863,6189.600098,6142.240234,6169.169922,6169.147491,27.919922,0.004546293
